state_ut_name,ac_no,ac_name,sex,age,category,party,symbol,general,postal,total,pct_votes_polled,total_electors,candidate_no,candidate_name
WEST BENGAL,16,MAYNAGURI,MALE,32.0,SC,IND,Football,1075,4,1079,0.46,264265.0,8,BILASH SARKAR
WEST BENGAL,16,MAYNAGURI,MALE,38.0,SC,SUCI,Battery torch,737,8,745,0.32,264265.0,9,SHYAMAL ROY
WEST BENGAL,16,MAYNAGURI,MALE,50.0,SC,AMB,COMPUTER,737,3,740,0.31,264265.0,10,BINAY SARKAR
TURN OUT,,,,,TOTAL:,,,233410,2683,236093,89.34,,,
WEST BENGAL,17,JALPAIGURI,MALE,66.0,SC,AITC,Flowers and Grass,93648,2020,95668,42.34,262500.0,1,DR. PRADIP KUMAR BARMA
WEST BENGAL,17,JALPAIGURI,MALE,47.0,SC,BJP,Lotus,92373,2354,94727,41.93,262500.0,2,SOUJIT SINGHA (PIKU)
WEST BENGAL,17,JALPAIGURI,MALE,75.0,SC,INC,Hand,23173,1055,24228,10.72,262500.0,3,SUKHBILAS BARMA
WEST BENGAL,17,JALPAIGURI,,,,NOTA,NOTA,3334,47,3381,1.5,262500.0,4,NOTA
WEST BENGAL,17,JALPAIGURI,MALE,53.0,SC,BSP,Elephant,1590,19,1609,0.71,262500.0,5,SUBHASH KUMAR SARKAR
WEST BENGAL,17,JALPAIGURI,FEMALE,31.0,SC,IND,Basket containing Fruits,1537,19,1556,0.69,262500.0,6,RAKHI SARKAR
WEST BENGAL,17,JALPAIGURI,MALE,49.0,SC,IND,Football Player,1142,5,1147,0.51,262500.0,7,HAREKRISHNA SARKAR
WEST BENGAL,17,JALPAIGURI,MALE,31.0,SC,AMB,Boat with Man and Sail,999,12,1011,0.45,262500.0,8,ISWAR BARAI
WEST BENGAL,17,JALPAIGURI,MALE,37.0,SC,IND,Football,949,13,962,0.43,262500.0,9,HARIDAS BISWAS
WEST BENGAL,17,JALPAIGURI,MALE,41.0,SC,SUCI,Battery torch,884,14,898,0.4,262500.0,10,PALENDRA NATH ROY
WEST BENGAL,17,JALPAIGURI,MALE,33.0,SC,IND,SHIP,725,21,746,0.33,262500.0,11,PRAHLAD ROY
TURN OUT,,,,,TOTAL:,,,220354,5579,225933,86.07,,,
WEST BENGAL,18,RAJGANJ,MALE,69.0,SC,AITC,Flowers and Grass,103587,1054,104641,48.5,244163.0,1,KHAGESWAR ROY
WEST BENGAL,18,RAJGANJ,MALE,60.0,SC,BJP,Lotus,87822,1046,88868,41.19,244163.0,2,SUPEN ROY
WEST BENGAL,18,RAJGANJ,MALE,46.0,SC,CPI(M),"Hammer, Sickle and Star",11897,211,12108,5.61,244163.0,3,RATAN KUMAR ROY
WEST BENGAL,18,RAJGANJ,,,,NOTA,NOTA,3161,14,3175,1.47,244163.0,4,NOTA
WEST BENGAL,18,RAJGANJ,FEMALE,31.0,SC,KPPU,Ganna Kisan,1851,9,1860,0.86,244163.0,5,TAPATI ROY (BARMAN)
WEST BENGAL,18,RAJGANJ,MALE,53.0,SC,SUCI,Battery Torch,1590,15,1605,0.74,244163.0,6,UDAY ROY
WEST BENGAL,18,RAJGANJ,MALE,63.0,SC,BSP,Elephant,1498,12,1510,0.7,244163.0,7,SANTI KISHOR BARARI
WEST BENGAL,18,RAJGANJ,MALE,60.0,SC,IND,Football,1137,9,1146,0.53,244163.0,8,DIGBIJAY MANDAL
WEST BENGAL,18,RAJGANJ,MALE,68.0,SC,AMB,Boat with Man and Sail,833,9,842,0.39,244163.0,9,NIRODE CHANDRA ADHIKARY
TURN OUT,,,,,TOTAL:,,,213376,2379,215755,88.37,,,
WEST BENGAL,19,DABGRAM-FULBARI,FEMALE,68.0,GENERAL,BJP,Lotus,128302,786,129088,49.85,310354.0,1,SIKHA CHATTERJEE
WEST BENGAL,19,DABGRAM-FULBARI,MALE,64.0,GENERAL,AITC,Flowers and Grass,100844,651,101495,39.19,310354.0,2,GOUTAM DEB
WEST BENGAL,19,DABGRAM-FULBARI,MALE,54.0,GENERAL,CPI(M),"Hammer, Sickle and Star",17747,251,17998,6.95,310354.0,3,DILIP SINGH
WEST BENGAL,19,DABGRAM-FULBARI,,,,NOTA,NOTA,3358,21,3379,1.3,310354.0,4,NOTA
WEST BENGAL,19,DABGRAM-FULBARI,MALE,47.0,SC,BSP,Elephant,1391,4,1395,0.54,310354.0,5,RADHAKRISHNA NAMADAS
WEST BENGAL,19,DABGRAM-FULBARI,MALE,43.0,SC,IND,Pen Nib with Seven Rays,1388,3,1391,0.54,310354.0,6,MAHESWAR BARMAN
WEST BENGAL,19,DABGRAM-FULBARI,FEMALE,42.0,GENERAL,IND,Hat,1087,6,1093,0.42,310354.0,7,RAKHI MANDAL
WEST BENGAL,19,DABGRAM-FULBARI,MALE,67.0,SC,IND,COCONUT FARM,1047,5,1052,0.41,310354.0,8,SUBASH BISWAS
WEST BENGAL,19,DABGRAM-FULBARI,MALE,35.0,SC,RPI(A),Apple,876,5,881,0.34,310354.0,9,AMITAV NASKAR
WEST BENGAL,19,DABGRAM-FULBARI,MALE,59.0,GENERAL,AMB,Boat with Man and Sail,646,4,650,0.25,310354.0,10,SHAMBHU SUTRADHAR
WEST BENGAL,19,DABGRAM-FULBARI,MALE,49.0,GENERAL,SUCI,Battery torch,544,3,547,0.21,310354.0,11,MANIUL ISLAM
TURN OUT,,,,,TOTAL:,,,257230,1739,258969,83.44,,,
WEST BENGAL,20,MAL,MALE,61.0,ST,AITC,Flowers and Grass,98697,389,99086,46.46,255570.0,1,BULU CHIK BARAIK
WEST BENGAL,20,MAL,MALE,41.0,ST,BJP,Lotus,93106,515,93621,43.9,255570.0,2,MAHESH BAGEY
